id,semestre,estatus,interes,genero,pronombres,edad,mayor,menor,buscando,pelicula,Reggaeton,Electrónica,Pop,Instrumental,Rock,Metal,Cumbia,Kpop,Banda,anime,videojuegos,bailar,Futbol,Basquetbol,Baseball,Futbol Americano,Natación,Tennis,Ciclismo,No,Otro,Golf,taco,bbt,animal,helado,celebracion,estacion,pizza,astrologia,signo,cocinar,cocinen,perrogato,pelilibros,subdub,temperatura,tiburon,poderes,caracteristicapareja,caracteristica
1123,2,Soltero,"Mujeres, Hombres, No binarixs, Género fluido",No binarix,"Él, Ella",18,Sí,No,Pareja,Comedia,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Carne asada,Ninguno,Tiburón,Chocomenta,San Valentín,Invierno,Sí,No,Sagitario,Sí,Sí,Perros,Película,Subtitulada,Frio,Patricia Armendáriz,Manipular el tiempo,Confianza,Interesante
1124,2,Soltero,Hombres,Femenino,Ella,19,Sí,No,Algo Casual,Comedia,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Sí,No,Sí,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Barbacoa,Ninguno,Ballena,Chocolate,San Valentín,Invierno,No,Sí,Capricornio,Sí,Sí,Perros,Libro,Subtitulada,Frio,Patricia Armendáriz,Volar,Respeto,Empátic@
1125,6,Soltero,"Mujeres, Hombres, No binarixs",Femenino,Ella,21,Sí,Sí,Pareja,Drama,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Sí,Sí,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Carnitas,Ninguno,Tiburón,Caramelo,San Valentín,Otoño,Sí,Sí,Sagitario,Sí,Sí,Perros,Película,Subtitulada,Calor,Rodrigo Herrera,Teletransporte,Diversión,Divertido
1126,4,Estoy aquí en busca de amigxs,Mujeres,Masculino,Él,20,Sí,Sí,Amistad,Romance,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,Sí,Sí,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Barbacoa,Leonard,Tigre,Chocomenta,Spring Break,Verano,Sí,No,Capricornio,No,Sí,Perros,Libro,Subtitulada,Calor,Carlos Bremer,Manipular el tiempo,Diversión,Inteligente
1127,2,Soltero,Hombres,Femenino,Ella,18,Sí,Sí,Pareja,Romance,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,No,Sí,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Pastor,Ninguno,Tigre,Cookies and cream,Spring Break,Verano,Sí,No,Leo,Sí,Sí,Gatos,Libro,Subtitulada,Calor,Carlos Bremer,Control Mental y manipulación,Cariño,Cariños@
1128,2,Soltero,"Mujeres, Hombres, No binarixs, Género fluido",Femenino,Ella,21,Sí,No,Algo Casual,Drama,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Canasta-/Al vapor,Ninguno,Lobo,Pistache,San Valentín,Otoño,Sí,No,Virgo,No,Sí,Gatos,Libro,Subtitulada,Frio,Carlos Bremer,Control Mental y manipulación,Confianza,Inteligente
1129,4,Soltero,Mujeres,Masculino,Él,19,Sí,Sí,Amistad,Comedia,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,No,Sí,Sí,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Carne asada,Ninguno,Lobo,Cookies and cream,Día de la Independencia,Verano,No,No,Aries,Sí,Sí,Perros,Película,Subtitulada,Calor,Carlos Bremer,Teletransporte,Confianza,Respetuoso
1130,9,Soltero,Mujeres,Masculino,Él,23,No,Sí,Algo Casual,Acción,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,Sí,Sí,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,Pastor,Leonard,Tigre,Nuez,Día de muertos,Primavera,No,No,Capricornio,No,Sí,Perros,Película,Subtitulada,Frio,Rodrigo Herrera,Volar,Diversión,Alegre
1131,4,Soltero,Mujeres,Masculino,Él,19,Sí,Sí,Pareja,Comedia,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,No,Sí,"Sí pero no sé bailar",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Raj,Lobo,Cookies and cream,Halloween,Invierno,No,No,Géminis,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Manipular el tiempo,Confianza,Fiel
1132,4,Soltero,Mujeres,Masculino,Él,19,Sí,Sí,Pareja,Acción,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,No,Sí,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Carne asada,Leonard,Tigre,Chocolate,Halloween,Verano,No,No,Cáncer,Sí,Sí,Perros,Película,Subtitulada,Calor,Carlos Bremer,Volar,Inteligencia,Perseverante
