id,semestre,estatus,interes,genero,pronombres,edad,mayor,menor,buscando,pelicula,Reggaeton,Electrónica,Pop,Instrumental,Rock,Metal,Cumbia,Kpop,Banda,anime,videojuegos,bailar,Futbol,Basquetbol,Baseball,Futbol Americano,Natación,Tennis,Ciclismo,No,Otro,Golf,taco,bbt,animal,helado,celebracion,estacion,pizza,astrologia,signo,cocinar,cocinen,perrogato,pelilibros,subdub,temperatura,tiburon,poderes,caracteristicapareja,caracteristica
0,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,19,Sí,Sí,Amistad,Comedia,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,Sí,"Sí pero no sé bailar",VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Raj,Tiburón,Nuez,Spring Break,Primavera,No,No,Piscis,Sí,Sí,Perros,Película,Subtitulada,Calor,Arturo Elías Ayub,Manipular el tiempo,Diversión,Confiable
1,6,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,20,Sí,Sí,Amistad,Romance,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,No,No,Sí,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,Pescado,Ninguno,Pato,Chocomenta,San Valentín,Verano,No,Sí,Géminis,Sí,Sí,Perros,Libro,Subtitulada,Calor,Arturo Elías Ayub,Dinero como el batman,Diversión,Divertido
2,10,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,22,Sí,Sí,Amistad,Romance,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,No,"Sí pero no sé bailar",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Barbacoa,Sheldon,Pingüino,Nuez,Spring Break,Invierno,No,No,Sagitario,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Telepatía,Respeto,Alegre
3,8,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,21,Sí,No,Amistad,Romance,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,No,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Pastor,Sheldon,Pingüino,Vanilla,Navidad,Invierno,Sí,Sí,Acuario,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Control Mental y manipulación,Cariño,Divertido
4,8,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,Drama,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,Sí,No,Sí,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Pastor,Ninguno,Ballena,Pistache,San Valentín,Primavera,No,No,Piscis,No,Sí,Perros,Libro,Subtitulada,Frio,Rodrigo Herrera,Teletransporte,Diversión,Alegre
5,8,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,"Él, Elle",21,Sí,Sí,Amistad,Suspenso,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,Sí,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Barbacoa,Howard,Pingüino,Fresa,Día de la Independencia,Invierno,Sí,No,Sagitario,Sí,Sí,Gatos,Película,Subtitulada,Frio,Carlos Bremer,Teletransporte,Empatía,Alegre
6,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,Acción,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,No,Sí,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,Barbacoa,Bernadette,Pingüino,Fresa,San Valentín,Otoño,No,Sí,Leo,Sí,Sí,Perros,Libro,Subtitulada,Frio,Emmanuel,Teletransporte,Respeto,Confiable
7,6,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,Romance,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,Barbacoa,Ninguno,Pingüino,Nuez,Año nuevo,Otoño,Sí,No,Cáncer,No,Sí,Gatos,Libro,Subtitulada,Frio,Rodrigo Herrera,Teletransporte,Respeto,Alegre
8,7,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,21,Sí,Sí,Amistad,Suspenso,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,Sí,Sí,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Leonard,Ballena,Cookies and cream,Halloween,Verano,No,No,Sagitario,Sí,Sí,Perros,Película,Subtitulada,Frio,Rodrigo Herrera,Teletransporte,Confianza,Fiel
9,6,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,Acción,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,No,Sí,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Guisos,Ninguno,Pato,Nuez,San Valentín,Otoño,No,Sí,Aries,No,Sí,Gatos,Libro,Subtitulada,Calor,Carlos Bremer,Manipular el tiempo,Diversión,Alegre
10,6,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,Terror,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,Sí,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Canasta-/Al vapor,Sheldon,Lobo,Vanilla,San Valentín,Verano,No,No,Piscis,Sí,No,Perros,Libro,Doblada,Calor,Rodrigo Herrera,Control Mental y manipulación,Inteligencia,Alegre
11,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,Comedia,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Barbacoa,Ninguno,Lobo,Vanilla,Año nuevo,Otoño,No,No,Capricornio,No,Sí,Perros,Libro,Subtitulada,Calor,Marcus Dantus,Volar,Alegría,Confiable
12,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,Comedia,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Leonard,Pingüino,Chocolate,San Valentín,Invierno,Sí,No,Escorpio,Sí,Sí,Perros,Libro,Subtitulada,Frio,Carlos Bremer,Dinero como el batman,Confianza,Divertido
13,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,Terror,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,No,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Barbacoa,ninguno,Tigre,Vanilla,Día de la Independencia,Primavera,No,Sí,Sagitario,No,Sí,Perros,Libro,Doblada,Frio,Arturo Elías Ayub,Fuerza,Alegría,Alegre
14,4,Soltero,Estoy aquí en busca de amigxs,Masculino,Él,21,Sí,Sí,Amistad,Comedia,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Sí,Sí,Sí,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Raj,Pingüino,Chocolate,San Valentín,Otoño,Sí,No,Piscis,Sí,Sí,Perros,Libro,Subtitulada,Frio,Marcus Dantus,Control Mental y manipulación,Confianza,Empátic@
15,4,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,18,Sí,Sí,Amistad,Acción,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,No,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Carne asada,Bernadette,Tigre,Vanilla,Día de la Independencia,Otoño,No,No,Aries,Sí,Sí,Gatos,Libro,Subtitulada,Calor,Carlos Bremer,Manipular el tiempo,Respeto,Empátic@
16,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,19,Sí,Sí,Amistad,Comedia,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,Sí,Sí,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Leonard,Pato,Chocolate,Halloween,Primavera,Sí,No,Leo,Sí,Sí,Perros,Libro,Subtitulada,Frio,Carlos Bremer,Manipular el tiempo,Interesante,Interesante
17,4,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,Acción,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,Sí,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,Carne asada,Penny,Pingüino,Chocomenta,Día de la Independencia,Verano,Sí,No,Libra,Sí,Sí,Perros,Libro,Subtitulada,Calor,Carlos Bremer,Volar,Confianza,Empátic@
18,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,18,Sí,Sí,Amistad,Comedia,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,Sí,"Sí pero no sé bailar",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Barbacoa,Leonard,Pingüino,Napolitano,Día de la Independencia,Verano,Sí,No,Sagitario,Sí,Sí,Perros,Película,Subtitulada,Calor,Arturo Elías Ayub,Teletransporte,Alegría,Divertido
19,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,19,Sí,Sí,Amistad,Suspenso,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Ninguno,Pingüino,Fresa,Día de la Independencia,Otoño,Sí,No,Géminis,Sí,Sí,Perros,Libro,Subtitulada,Frio,Carlos Bremer,Manipular el tiempo,Interesante,Empátic@
20,2,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,No,Amistad,Romance,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,No,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Pastor,Ninguno,Pato,Vanilla,Navidad,Primavera,No,Sí,Aries,Sí,Sí,Perros,Libro,Subtitulada,Frio,Patricia Armendáriz,Control Mental y manipulación,Confianza,Perseverante
21,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,18,Sí,Sí,Amistad,Acción,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,No,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Barbacoa,Ninguno,Pingüino,Cookies and cream,Halloween,Otoño,Sí,No,Sagitario,Sí,Sí,Perros,Película,Subtitulada,Calor,Arturo Elías Ayub,Dinero como el batman,Diversión,Confiable
22,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,19,Sí,Sí,Amistad,Suspenso,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,No,No,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Vegetariano,Ninguno,Lobo,Cookies and cream,Día de la Independencia,Primavera,Sí,No,Sagitario,Sí,Sí,Perros,Película,Doblada,Frio,Patricia Armendáriz,Control Mental y manipulación,Confianza,Responsable
23,2,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,No,Amistad,Terror,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Pastor,Amy,Pingüino,Chocolate,Spring Break,Invierno,No,Sí,Géminis,Sí,Sí,Perros,Libro,Subtitulada,Frio,Patricia Armendáriz,Telepatía,Fidelidad,Empátic@
24,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,18,Sí,No,Amistad,Romance,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,No,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Carne asada,Ninguno,Tigre,Cookies and cream,Día de la Independencia,Primavera,No,No,Géminis,Sí,Sí,Perros,Película,Subtitulada,Calor,Arturo Elías Ayub,Teletransporte,Cariño,Confiable
25,2,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,18,Sí,Sí,Amistad,Romance,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Sí,Sí,Sí,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Ninguno,Pingüino,Fresa,Spring Break,Invierno,Sí,Sí,Piscis,Sí,Sí,Perros,Libro,Subtitulada,Frio,Carlos Bremer,Teletransporte,Cariño,Divertido
26,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,18,Sí,Sí,Amistad,Drama,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,Sí,No,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Amy,Lobo,Vanilla,Día de la Independencia,Primavera,Sí,Sí,Acuario,Sí,Sí,Gatos,Libro,Subtitulada,Calor,Patricia Armendáriz,Volar,Confianza,Empátic@
27,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,18,Sí,Sí,Amistad,Suspenso,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Amy,Pingüino,Napolitano,Día de la Independencia,Otoño,Sí,No,Sagitario,No,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Control Mental y manipulación,Diversión,Perseverante
28,2,Soltero,Estoy aquí en busca de amigxs,Masculino,Él,19,Sí,Sí,Amistad,Acción,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,Sí,"Sí pero no sé bailar",FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Carne asada,Raj,Lobo,Cookies and cream,Día de la Independencia,Invierno,Sí,No,Escorpio,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Manipular el tiempo,Confianza,Confiable
29,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,20,Sí,Sí,Amistad,Suspenso,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Canasta-/Al vapor,Sheldon,Pato,Caramelo,Halloween,Invierno,No,No,Acuario,Sí,Sí,Perros,Libro,Subtitulada,Frio,Arturo Elías Ayub,Manipular el tiempo,Inteligencia,Confiable
30,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,18,Sí,Sí,Amistad,Suspenso,FALSO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,No,No,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,Carne asada,Sheldon,Lobo,Pistache,San Valentín,Verano,No,No,Leo,No,Sí,Perros,Película,Subtitulada,Calor,Carlos Bremer,Manipular el tiempo,Diversión,Interesante
31,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,Romance,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Vegetariano,Ninguno,Tigre,Caramelo,Día de la Independencia,Primavera,Sí,No,Acuario,Sí,Sí,Gatos,Libro,Subtitulada,Calor,Patricia Armendáriz,Control Mental y manipulación,Inteligencia,Responsable
32,2,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,Suspenso,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,No,Sí,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,Pastor,Ninguno,Pingüino,Napolitano,Día de la Independencia,Invierno,Sí,No,Géminis,Sí,Sí,Perros,Libro,Subtitulada,Frio,Emmanuel,Teletransporte,Confianza,Empátic@
33,2,En una relación,Estoy aquí en busca de amigxs,Masculino,Él,18,Sí,Sí,Amistad,Acción,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,"Sí pero no sé bailar",VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,Barbacoa,Ninguno,Lobo,Chocolate,Spring Break,Invierno,No,No,Piscis,Sí,Sí,Perros,Película,Subtitulada,Frio,Patricia Armendáriz,Manipular el tiempo,Fidelidad,Fiel
34,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,17,Sí,No,Amistad,Suspenso,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,Sí,No,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Carne asada,Howard,Pingüino,Cookies and cream,San Valentín,Invierno,Sí,No,Aries,Sí,Sí,Perros,Película,Subtitulada,Frio,Rodrigo Herrera,Telepatía,Confianza,Perseverante
35,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,Terror,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,Sí,Sí,Sí,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Carne asada,Leonard,Pato,Fresa,San Valentín,Otoño,Sí,Sí,Piscis,Sí,Sí,Perros,Libro,Subtitulada,Frio,Arturo Elías Ayub,Manipular el tiempo,Respeto,Alegre
36,8,En una relación,Estoy aquí en busca de amigxs,Masculino,Él,21,Sí,Sí,Amistad,Comedia,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,Sí,Sí,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Carne asada,Leonard,Pato,Fresa,Día de la Independencia,Primavera,Sí,No,Piscis,Sí,Sí,Perros,Libro,Subtitulada,Frio,Carlos Bremer,Manipular el tiempo,Alegría,Empátic@
37,4,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Algo Casual,Comedia,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,No,No,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,Carnitas,Ninguno,Lobo,Chocolate,Spring Break,Verano,Sí,No,Virgo,Sí,Sí,Perros,Libro,Subtitulada,Calor,Patricia Armendáriz,Telepatía,Fidelidad,Responsable
38,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,Acción,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Sí,Sí,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Carne asada,Leonard,Lobo,Vanilla,San Valentín,Otoño,Sí,No,Capricornio,Sí,Sí,Gatos,Libro,Subtitulada,Frio,Marcus Dantus,Telepatía,Respeto,Interesante
39,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,No,Amistad,Comedia,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,Sí,Sí,No,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Carne asada,Penny,Pato,Napolitano,Año nuevo,Primavera,No,Sí,Capricornio,Sí,Sí,Gatos,Película,Subtitulada,Frio,Patricia Armendáriz,Manipular el tiempo,Cariño,Cariños@
40,2,En una relación,Estoy aquí en busca de amigxs,Masculino,Él,19,Sí,Sí,Amistad,Suspenso,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,Sí,No,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Barbacoa,Sheldon,Lobo,Caramelo,Día de muertos,Invierno,No,No,Virgo,Sí,Sí,Gatos,Libro,Subtitulada,Frio,Rodrigo Herrera,Manipular el tiempo,Inteligencia,Inteligente
41,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,Comedia,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,No,No,No,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Canasta-/Al vapor,Sheldon,Lobo,Vanilla,San Valentín,Otoño,Sí,No,Capricornio,Sí,Sí,Gatos,Libro,Subtitulada,Frio,Arturo Elías Ayub,Telepatía,Inteligencia,Perseverante
42,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,Terror,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Barbacoa,Ninguno,Pato,Cookies and cream,Día de la Independencia,Otoño,No,No,Acuario,Sí,Sí,Perros,Libro,Subtitulada,Frio,Arturo Elías Ayub,Telepatía,Respeto,Cariños@
43,1,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,No,Amistad,Terror,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,Sí,Sí,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Pastor,Raj,Pato,Napolitano,Día de la Independencia,Primavera,No,Sí,Leo,Sí,Sí,Perros,Libro,Subtitulada,Frio,Arturo Elías Ayub,Teletransporte,Respeto,Cariños@
44,4,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,Acción,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Pastor,Ninguno,Tigre,Caramelo,San Valentín,Otoño,No,No,Piscis,No,No,Perros,Libro,Subtitulada,Frio,Patricia Armendáriz,Manipular el tiempo,Fidelidad,Fiel
45,2,Soltero,Estoy aquí en busca de amigxs,Masculino,Él,19,Sí,No,Amistad,Suspenso,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,No,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Carne asada,Sheldon,Pato,Chocolate,Spring Break,Verano,No,No,Tauro,Sí,Sí,Perros,Libro,Subtitulada,Calor,Carlos Bremer,Manipular el tiempo,Perseverancia,Perseverante
46,3,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,Romance,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Pastor,Amy,Pingüino,Cookies and cream,Halloween,Verano,No,No,Libra,Sí,Sí,Perros,Libro,Subtitulada,Calor,Patricia Armendáriz,Manipular el tiempo,Perseverancia,Alegre
47,7,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,22,Sí,Sí,Amistad,Comedia,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,No,Sí,"Sí pero no sé bailar",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Guisos,Bernadette,Ballena,Chocolate,Spring Break,Otoño,Sí,No,Escorpio,Sí,Sí,Perros,Película,Subtitulada,Calor,Arturo Elías Ayub,Volar,Diversión,Inteligente
48,6,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,Romance,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,No,"Sí pero no sé bailar",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Carne asada,Penny,Pato,Cookies and cream,Día de la Independencia,Otoño,Sí,Sí,Piscis,No,Sí,Perros,Película,Subtitulada,Calor,Carlos Bremer,Dinero como el batman,Confianza,Empátic@
